name,clustcoef,numNotes,numUniqueNotes,numEdges,connected,diameter,avgpathlen
"Battle of Killiecrankie, The",0.08869419815558599,81,19,41,True,8,3.584795321637427
"Battle of Waterloo Pipeline",0.033443175083014476,116,25,46,True,9,3.935
"Battle of Waterloo",0.04451942026175711,218,35,81,True,9,3.672268907563025
"Baxter and Bo",0.09535700434280864,167,18,53,True,6,2.5359477124183005
"BB Centenary 1983",0.0469755228832502,317,25,101,True,5,2.2783333333333333
"Bessie Weatherston",0.019974351135669977,97,21,40,True,9,3.7333333333333334
"Bluebells of Scotland, The",0.09605089559806211,86,12,26,True,6,2.621212121212121
"Bluebells of Scotland",0.09605089559806211,86,12,26,True,6,2.621212121212121
"Bogota Caledonian Ball, The",0.06521927680217954,113,21,52,True,7,3.1214285714285714
"Bonnie Gallowa'",0.04853722683770309,60,13,29,True,5,2.467948717948718
"Bonnie Galloway",0.08165291448014517,72,16,35,True,6,2.841666666666667
"Bonnie Lass of Fyvie, The",0.01091338223228137,42,20,34,False,NA,NA
"Bonnie Woods of Stirkoke, The",0.04528273811023932,218,32,72,True,8,3.630040322580645
"Boys from Wexford, The",0.007315758689965115,70,23,32,True,11,5.08498023715415
"Brig O' Blair, The",0.030100136971212946,104,24,49,True,8,3.3152173913043477
"Bruce's Address",0.010394085520227126,124,21,38,True,12,4.764285714285714
"C.E.F. In The Battle For Hill 70, The",0.029535149841740747,207,23,62,True,7,2.950592885375494
"Cabar Feidh",0.02216695077470984,236,29,88,True,6,2.874384236453202
"Caisson Song, The",0.0452675125306924,96,20,34,True,11,4.278947368421052
"Caissons Go Rolling Along, The",0.06682448850031408,134,17,34,True,10,3.6801470588235294
"Castleview House",0.15366930494986136,65,17,38,True,6,2.6911764705882355
"Catherine Stead's Wedding",0.018558388807930953,221,27,60,True,7,3.3119658119658117
"CCPB's 20th Anniversary March",0.11728818245504445,106,21,69,True,6,2.585714285714286
"Chanter's Tune",0.06640829653596599,174,12,27,True,6,2.6363636363636362
"Chariots of Fire",0.0,96,14,20,True,10,4.346153846153846
"Children's Song, The",0.1163619573821679,103,28,51,True,9,3.8386243386243386
"Chumash Cass",0.02398558700135177,107,23,47,True,8,3.389328063241107
"City of Hastings",0.029519977379932585,195,24,61,True,6,3.1557971014492754
"City of Winchester Pipes and Drums",0.05141957247125765,208,21,35,True,7,3.6476190476190475
"Cobblers of Lorn, The",0.061755576746866145,109,20,48,True,6,2.9473684210526314
"CoBBPaD Badner Lied",0.02818853416849685,109,31,64,True,7,3.686021505376344
"Cockney Jocks",0.04798606573982396,133,20,35,True,9,4.057894736842106
"Colonel Bogie's March aka Bridge Over River Kwaii",0.11014971454746317,79,16,33,False,NA,NA
"Colonel Forbes of Corse",0.019345517940645117,92,20,35,True,8,3.705263157894737
"Corn Rigs Are Bonnie",0.035210654668211584,174,22,44,True,8,3.2987012987012987
"Crags of Tumbledown Mountain, The",0.03432461261945424,133,23,60,True,7,2.9486166007905137
"Crusaders', The",0.08967140251771462,109,21,42,True,8,3.6166666666666667
"Crusaders, The",0.06519485994304068,109,21,42,True,8,3.8261904761904764
"Cullen House",0.01989025701289489,174,27,60,True,8,3.492877492877493
"Dasmesh Highland March",0.04834240358050213,106,23,52,True,6,3.0177865612648223
"David Crosbie Miller",0.035599049401106884,99,25,49,True,8,3.578333333333333
"Dawning of the Day w seconds",0.07929741937745743,150,30,72,True,8,3.332183908045977
"Dawning Of, The Day, The",0.09085888273806571,72,16,35,True,7,3.0166666666666666
"Day is Done",0.09614404450675158,37,11,23,False,NA,NA
"Dermot O'Rourke",0.07295990800605742,108,20,45,True,7,2.931578947368421
"Don't Want to Miss a Thing",0.03292801358040974,473,34,131,True,8,2.935828877005348
"Dougie's Tune",0.03621762838604472,106,24,54,True,9,3.6032608695652173
"Dr. Cameron Stewart",0.00970526495168244,81,19,33,True,8,3.5964912280701755
"Drunken Duncan",0.034924349313667766,114,20,39,True,8,3.3657894736842104
"Dublin to Derry",0.04300274106619825,202,21,58,True,7,2.854761904761905
"Dust Gatherer, The",0.03556898603053196,179,23,68,True,6,2.911067193675889
"Erin Far O'er the Sea",0.027059964637647427,100,26,58,False,NA,NA
"Eyes of Texas, The",0.012420048947706314,61,25,48,True,9,3.848333333333333
"Fahey's Return",0.03787694884659209,112,19,42,True,9,3.388888888888889
"Fallen Hero, The",0.050469499443965546,122,20,36,True,8,3.65
"Farewell to Nova Scotia",0.07710757977384901,104,20,50,True,6,2.873684210526316
"Farewell to Oklahoma",0.10355438526583963,92,10,25,True,5,2.2777777777777777
"Farewell to the Rangers",0.06740612973276265,108,19,40,True,6,3.0292397660818713
"Farewell to Twillingate",0.03512271702617777,105,15,33,False,NA,NA
"Fields of Athenry",0.04903509007983587,97,25,59,False,NA,NA
"Fighting Irish of Notre Dame",0.06989399421928619,268,23,47,True,12,3.9486166007905137
"Fisherman Song",0.028434789108844075,74,15,26,True,9,3.704761904761905
"Flett From Flotta Pipeline",0.03138712954905799,102,22,38,True,10,4.0519480519480515
"Flett from Flotta",0.03138712954905799,102,22,38,True,10,4.0519480519480515
"Gallawa' Hills",0.007046985841252218,150,22,35,True,8,4.188311688311688
"Garden Of Skye",0.06324085466151068,106,24,57,False,NA,NA
"Gardens-of-Skye, The",0.06959197113873183,216,22,56,True,9,3.168831168831169
"George Henry Gillies",0.05613497176176163,217,21,61,True,6,2.642857142857143
"God Save Ireland",0.04568253022340867,100,22,45,True,7,3.2316017316017316
"Gothenburg City Pipeband, The",0.081653562944874,190,20,45,False,NA,NA
"Grand Old Flag-Marine Corps",0.03242775423752212,143,28,72,True,8,3.2037037037037037
"Grand Old Flag",0.06122211198477327,75,26,48,True,9,3.7553846153846155
"Green Glens of Antrim",0.020181912939266605,164,29,59,True,7,3.6379310344827585
"Her Majesty's Golden Jubilee",0.04282052766299833,172,23,37,True,10,4.1936758893280635
"Heroes of September 11th",0.05004084204038741,115,20,36,False,NA,NA
"Hiking Song",0.06363732175822341,144,31,67,True,6,3.236559139784946
"Hills of Alva, The",0.05021590528308982,212,27,80,True,6,2.799145299145299
"Hills of Argyll, The",0.038815023195218006,196,25,56,True,8,3.453333333333333
"House of Edgar",0.06420274045705283,425,16,66,True,5,2.091666666666667
"HRH Prince Andrew, C.V.O., A.D.C.",0.06467966305192394,184,20,31,True,9,3.9842105263157896
"Imogen And Ethan Thomas",0.04706883193059257,212,25,79,False,NA,NA
"Inniskilling Dragoon, The",0.047306194666890164,100,17,30,True,8,3.5330882352941178
"Intercontinental Gathering, The",0.07420102108267511,148,26,58,False,NA,NA
"Irish Guards Welcome to Toronto, The",0.033444438273025394,196,29,75,True,7,3.1982758620689653
"It's A Long Way To Tipperary",0.07999762731547204,124,22,45,True,7,3.329004329004329
"Jack's Welcome Home",0.0879798136149292,231,24,57,True,7,3.005434782608696
"Jimmy Findlater",0.04265363873448504,221,23,57,True,7,3.025691699604743
"Jingle Bells",0.03461973209518488,91,24,46,False,NA,NA
"Keep the Home Fires Burning",0.028408679516202018,216,33,69,True,9,3.9071969696969697
"Kelly the Boy From Killane",0.05336251593058569,91,16,30,True,8,3.191666666666667
"Keltic Kalypso",0.061760615916960464,296,24,80,True,5,2.5018115942028984
"Kernow Kilties, The",0.0667725610604447,112,21,65,True,5,2.426190476190476
"Kilkenneth Cottage",0.06661053699891607,116,19,44,True,7,2.9327485380116958
"Killiecrankie",0.02788157836057738,85,24,45,True,12,4.442028985507246
"King Carl XVI Gustav of Sweden",0.045124809760080806,199,21,60,True,6,2.6476190476190475
"La Marseillaise",0.025311209701231848,112,34,92,True,8,3.32174688057041
"Lament For Colonel Forbes",0.08019004733126829,84,14,23,True,9,3.912087912087912
"Leaving Liverpool",0.02463110809965009,90,21,37,True,8,3.8214285714285716
"Leaving of Liverpool",0.016076043252739928,88,21,37,True,9,3.9595238095238097
"Let Erin Remember",0.13898737321750324,122,19,41,True,6,3.026315789473684
"Liberate",0.029231050346032336,109,18,39,True,7,3.284313725490196
"Liberation",0.029231050346032336,109,18,39,True,7,3.284313725490196
"Lieutenant Colonel D.J.S. Murray",0.032873496349867214,216,21,67,False,NA,NA
"Lili Marlene",0.025079365079365076,116,30,52,True,11,4.247126436781609
"Linlithgow_Palace",0.05086782113333468,146,23,51,True,7,3.2015810276679844
"Loch Etive-side",0.04371644652468686,168,22,45,True,6,3.1082251082251084
"Loch Ruan-The Bonnie Lass of Fyvie",0.0337724547952347,188,29,78,True,8,3.291871921182266
"Loch Ruan",0.0432872482253736,95,24,40,True,10,4.023550724637682
"Loch Tummelside",0.047285975406181596,132,20,41,False,NA,NA
"Longest Day, The",0.036329827477394994,50,20,28,False,NA,NA
"Lord Lovat's LamentWings",0.03288324969769692,225,27,72,True,6,3.1923076923076925
"MacRae Meadow 2nds",0.05325524629421965,145,27,69,True,6,3.0256410256410255
"MacRae Meadow, The",0.14160564212482368,71,17,35,False,NA,NA
"MacRae Meadow",0.059735795114167295,145,23,55,False,NA,NA
"Maggie",0.07090486271126344,78,17,39,True,7,2.9411764705882355
"Maple Leaf Forever, The",0.049665892417595864,63,22,46,False,NA,NA
"March of Champions Supreme, The",0.16048318117874186,118,19,43,True,6,2.9035087719298245
"Marie Curie's Parisian March",0.05864025892849565,234,25,51,True,8,3.4316666666666666
"Marine Corps Hymn",0.029914358123657888,74,19,30,True,10,4.201754385964913
"Meeting Of The Waters Set",0.06679467036392203,375,30,112,True,5,2.6149425287356323
"Meeting of the Waters",0.05425491872361765,215,24,68,True,7,2.818840579710145
"Mickey's on the Honor Role",0.046438657531488806,157,28,58,True,8,3.812169312169312
"Minstrel Boy",0.08705157510943017,77,20,38,True,10,3.668421052631579
"Molly Darlin",0.03621643087625728,65,18,36,True,7,3.15359477124183
"Molly Darling",0.0464887913416518,65,18,33,False,NA,NA
"Moonstar - Flett From Flotta - Battle Of Waterloo",0.05164713722391049,308,41,124,True,7,3.199390243902439
"Moonstar",0.054515654640495674,270,31,94,True,8,3.4376344086021504
"Mull of Oa, The",0.028729833869922,180,20,34,True,9,3.7710526315789474
"Murdo's Wedding",0.0870547709991669,80,15,27,True,8,3.5047619047619047
"Music of Spey, The",0.004842040282038622,77,27,44,True,11,4.3917378917378915
"Music of Spey",0.01701342961495681,76,23,43,True,8,3.6146245059288535
"New Wing",0.07385110351996983,221,17,43,True,7,2.9338235294117645
"Nine in a Row",0.025845406072333935,98,21,37,True,10,3.926190476190476
"Octagon, The",0.06276469048948644,228,24,58,True,7,3.0199275362318843
"Ode to Joy",0.03124331560965473,198,20,56,True,7,2.960526315789474
"Old Boy, The",0.030757253847291235,214,30,86,True,8,3.0919540229885056
"Old Rustic Bridge by the Mill, The",0.079982248411178,94,27,53,True,8,3.574074074074074
"Old Rustic Bridge, The",0.07603930801608635,144,30,67,True,7,3.432183908045977
"Over There",0.05049128568173377,70,17,40,True,6,2.8345588235294117
"Parker Henderson",0.06725035797702472,111,27,61,True,7,3.2207977207977208
"Peter MacKenzie Warren",0.053101886240083225,213,27,80,True,6,2.8974358974358974
"Pikeman's March, The",0.038629063828243604,208,23,63,True,7,3.1719367588932808
"Pipe Major Robert Martin",0.07402768652159325,113,22,56,True,7,2.831168831168831
"PM Robert Martin",0.09744119458848897,111,22,56,True,7,2.824675324675325
"Prairie Highlanders' Slow March, The",0.06511549115693419,196,23,50,True,7,3.2509881422924902
"Pyramid Temple Pipes & Drums",0.04159308356295697,366,25,76,True,5,2.705
"Raise Your Glass",0.041784402805079814,270,26,82,True,7,2.8584615384615386
"RCAF March Past",0.026490136033412347,182,30,52,True,10,4.188505747126436
"Reedmaker, The",0.07098868572004462,193,19,53,True,5,2.4883040935672516
"Remember the Times",0.040788966750577194,195,32,81,True,7,3.155241935483871
"Road To Jacob's Well, The",0.03574868703819686,223,26,69,True,7,2.943076923076923
"Robin Adair",0.04900215162960367,86,19,35,True,7,3.3567251461988303
"Roddy McCorley",0.002683295540438397,90,21,34,True,9,4.316666666666666
"Rose of Annandale",0.05369654182338716,71,23,44,True,7,3.450592885375494
"Roses O' Prince Charlie",0.025311722505001275,92,22,44,True,9,3.829004329004329
"Rowan Tree, The with Seconds",0.0422113108830211,272,26,72,True,7,3.066153846153846
"Rowan Tree, The",0.06993826168301161,86,17,40,True,9,3.551470588235294
"Sally Wilson",0.07486032688845085,141,21,41,True,9,3.5047619047619047
"Sash My Father Wore, The",0.041198458452881025,71,15,32,False,NA,NA
"Scotland the Brave Pipeline",0.027617608511987503,105,26,42,False,NA,NA
"Scotland the Brave",0.027617608511987503,105,26,42,False,NA,NA
"Sean O'Neill's March",0.053777007304699184,220,22,55,True,9,3.303030303030303
"Sean South of Garry Owen",0.002448102271704203,72,22,35,True,9,4.259740259740259
"Semper Paratus aka U.S. Coast Guard aka Always Ready 2nds",0.08381094243747288,67,17,42,False,NA,NA
"Send in the Clowns-Seconds",0.07493807449883767,51,13,26,False,NA,NA
"Send in the Clowns",0.059638378155432846,62,12,21,True,5,2.772727272727273
"Set 79",0.024200716047502367,446,38,132,True,6,2.906827880512091
"Shane O'Neill's March",0.04962943290296199,166,24,52,True,9,3.7355072463768115
"Show Me The Way To Go Home",0.06157620279409065,84,16,30,True,7,3.225
"Silver Threads Among The Gold",0.020061937263036237,67,22,38,True,10,3.9805194805194803
"Silver Threads",0.012622595240861938,67,25,37,True,10,4.34
"Sir John A. MacDonald Society",0.043225248275294316,123,26,55,True,8,3.463076923076923
"Soldier's Return, The",0.04926539496318339,134,18,36,True,8,3.372549019607843
"Soldier's Song, The",0.04592773177479525,111,21,53,True,7,3.138095238095238
"Spirit of the Tattoo, The",0.03392255991475979,55,24,44,True,8,3.7427536231884058
"Sruleen Park",0.035001828131996024,104,25,52,True,8,3.445
"Star of County Down, The",0.014374744233980037,152,17,30,True,10,4.264705882352941
"Stirling Brig",0.06523500425077346,75,19,55,True,7,2.6871345029239766
"Tansey Close Lassies",0.05818527710216849,220,17,35,True,7,3.0220588235294117
"Tawil Piper",0.013333221427949203,172,21,41,True,9,3.5547619047619046
"Theme from The Magnificent Seven",0.14672567115448004,88,15,28,True,6,2.961904761904762
"Thistle of Scotland, The",0.048171758495389475,100,19,39,True,7,3.0146198830409356
"Thistle of Scotland",0.05829104216241984,100,17,37,True,5,2.7426470588235294
"Thomas Sander",0.1009108748436171,109,22,52,True,7,3.069264069264069
"Thomas Sanders",0.0867875397064263,109,22,52,True,7,3.0822510822510822
"Triumph, The",0.0768428922355572,208,22,45,True,7,3.3593073593073592
"Trooper B. Zimmerman",0.04636622035070073,198,27,76,True,6,2.9444444444444446
"Twenty Men From Dublin Town",0.08098631950000544,61,18,30,True,9,3.950980392156863
"Two Ronnies' Maggies, The",0.06700971681375152,212,18,42,True,6,2.712418300653595
"Two Tigers",0.13359935265681586,64,10,17,True,6,2.7222222222222223
"Wagenborgen",0.07992543866425272,187,19,35,True,8,3.5584795321637426
"Wake Me Up - Avicii",0.009037269121259132,112,25,36,True,14,5.758333333333334
"We're No Awa' Tae Bide Awa'",0.041356107660455485,36,23,34,False,NA,NA
"Wearing O' The Green",0.03654634942014192,115,17,34,True,9,3.4080882352941178
"Wearing of the Green, The",0.04963399094215769,117,17,37,True,9,3.4558823529411766
"Wee Highland Laddie, The",0.04275433603598492,111,20,48,True,7,3.044736842105263
"Welcome the Royal Irish Regiment",0.06899796850881856,94,21,49,True,6,2.988095238095238
"Wha Saw the 42nd",0.05829122906409665,121,15,33,False,NA,NA
"Wha' Wadna Fight for Charlie",0.04824501311515315,116,15,30,True,7,3.0714285714285716
"When the Saints Go Marchin' In",0.03417892003014099,68,15,24,True,7,3.2095238095238097
"Whittakers Welcome to Rotorua",0.06280964929006268,112,20,43,True,6,2.9
"Will Ye No Come Back Again",0.011949362296884,56,19,33,True,8,3.587719298245614
"Willie's Gone To Melville Castle",0.0990480416003632,59,15,33,True,5,2.6952380952380954
"Wings Pipeline",0.01352089187430316,107,23,41,True,11,4.276679841897233
"Wings Seconds",0.01566852774554581,102,21,36,True,8,3.6595238095238094
"Wings",0.024072873542193653,108,22,41,False,NA,NA
"Within A Mile O' Edinburgh Toon",0.026467821247849355,110,20,38,True,9,3.7578947368421054
"Within A Mile Of Edinburgh Town",0.027860864471420374,110,19,38,True,9,3.5672514619883042
"Wooden Heart",0.026156487229534786,144,23,43,True,10,3.7450592885375493
"Ye Jacobites by Name",0.009756948677563394,140,24,42,True,7,3.630434782608696
"4th Horn Concherto, The",0.05134585001051082,166,24,48,True,8,3.414855072463768
"9 O'Clock Walk",0.06544621459068141,336,13,41,True,6,2.448717948717949
"A Dream Afore Ye Go",0.04803237375858802,316,22,75,True,6,2.588744588744589
"A Fig For A Kiss",0.05926520742464213,668,18,89,True,4,1.9705882352941178
"A Scarce o' Tatties",0.08503427924656234,160,15,41,True,5,2.519047619047619
"A Shade of Jade",0.07328135746290053,108,14,31,True,6,2.78021978021978
"A Theory Of Everything",0.0964909184206965,152,12,37,True,5,2.3636363636363638
"Accordian Jig, The",0.10482035312039728,340,14,50,True,5,2.1263736263736264
"Aggitated Fingers",0.07190931370019663,436,20,64,True,6,2.5473684210526315
"Alan MacPherson of Mosspark",0.08262067871930433,335,16,47,True,5,2.3625
"Amber Necter, The",0.04842827023244517,354,12,49,True,3,1.8333333333333333
"Amy's First Launch",0.06508667233395578,370,14,48,True,5,2.197802197802198
"An Chailleach sa Tornoig",0.0349354515929367,164,11,34,True,5,2.172727272727273
"Angie's Crook",0.04093495598471485,326,20,61,True,6,2.5736842105263156
"Angus J. MacNeil",0.056993548999820745,317,14,43,True,5,2.318681318681319
"Anne van Gerwen's visit to MacDowell",0.11679686209199214,176,10,32,True,4,1.9777777777777779
"Annette's Chanter",0.10115200145398774,346,13,55,True,4,1.9294871794871795
"Annette's Chatter",0.10115200145398774,346,13,55,True,4,1.9294871794871795
"Archie Beag",0.023431176163382677,426,31,95,True,6,2.795698924731183
"Arlie's Big Day Jig",0.08548359349335197,268,15,61,True,4,2.052380952380952
"At Rothesay With Strathclyde Police",0.1926461214188503,284,10,40,True,4,1.8
"Atholl Jig",0.21187009908082063,172,9,31,True,3,1.6805555555555556
"Aye Wight",0.0417552028202387,256,11,41,True,4,1.981818181818182
"B.O.E., The",0.0367725754364567,162,19,52,False,NA,NA
"Back Gracenote Jig, The",0.12179674905931646,188,7,27,True,3,1.4047619047619047
"Banish Misfortune",0.10181870895853326,205,14,44,True,5,2.269230769230769
"Banjo Breakdown, The",0.09984627516507087,397,14,53,True,4,2.0164835164835164
"Barbara's Jig",0.13669933106766782,292,11,28,True,5,2.381818181818182
"Barley Cakes",0.08902620787589223,205,16,48,True,5,2.3583333333333334
"Barry Allen of Bli-Bli",0.03595249616844519,136,16,31,True,7,3.1125
"Bay Gulls 'n Lochs",0.048760999890298834,1180,18,93,True,4,2.0130718954248366
"Bees' Wedding, The",0.13496262764358985,737,14,57,True,4,2.021978021978022
"Behind The Bush In The Garden",0.10402080935732491,170,13,32,True,6,2.4551282051282053
"Behold What Is Good",0.05870508326916102,336,15,49,True,5,2.357142857142857
"Bethany's Jig",0.039000443693209166,182,20,43,True,7,2.968421052631579
"Betty Hall's Slip",0.05171647062966283,120,13,29,True,6,2.8653846153846154
"Biddy From Sligo",0.07432316685131586,360,12,64,False,NA,NA
"Black Sporran, The",0.13298651362231367,179,13,43,True,5,2.217948717948718
"Blarney Pilgrim, The",0.04968734562560987,272,10,33,True,4,1.9777777777777779
"Blessing The Bar",0.08141694690824572,183,12,38,False,NA,NA
"Blind Billy",0.04963999444705891,124,13,30,True,5,2.5064102564102564
"Blue Cloud, The",0.061747417077367354,505,15,71,True,5,2.033333333333333
"Borgo Pass, The",0.11164665997978278,326,15,51,True,4,2.1142857142857143
"Borreraig",0.23401892335972313,375,9,35,True,3,1.5972222222222223
"Boys of Ballynote, The",0.09749237859893757,159,10,29,True,5,2.2111111111111112
"Boys of the Lough, The",0.14677075566599657,185,9,21,True,5,2.263888888888889
"Brae Riach",0.03852193694417771,357,15,36,False,NA,NA
"Braemar Pipers",0.13807169958708723,270,12,37,True,5,2.106060606060606
"Braes of Antigonish, The",0.09844248415701586,184,8,29,True,3,1.6785714285714286
"Braes of Melinish, The",0.04463994776359433,314,15,43,True,5,2.4047619047619047
"Brandy the Bitch",0.14356440394367445,176,9,29,True,4,1.9583333333333333
"Brest St. Marc",0.08293137137599745,392,12,39,True,5,2.2196969696969697
"Bridget Bradley",0.09010701116096184,362,10,42,True,4,1.7
"Bronni's Blue Brozzi",0.10368403607430109,357,16,71,True,4,1.9875
"Bug, The",0.15569276158018186,355,9,34,True,4,1.7638888888888888
"Bungee Jumper, The",0.1097210271071999,184,11,40,True,4,1.9181818181818182
"Butter Fingers",0.08682545394916592,332,15,54,True,4,2.157142857142857
"Cabar Feidh Jig",0.057829289043696316,326,17,88,True,4,1.9522058823529411
"Cabar Feidh Suite",0.04980206570474498,1525,33,275,True,4,1.9318181818181819
"Caddy in a Bucket",0.11558945380073186,156,17,50,True,5,2.448529411764706
"Cailleach do mhaireas me",0.11094003094236461,536,14,55,True,5,2.208791208791209
"California Chanter Cap, The",0.0928707580697903,379,10,37,True,4,1.8555555555555556
"Calleach an Dudain (The Old Wife of the Mill Dust)",0.024189891710513955,472,15,49,True,6,2.238095238095238
"Calliope House",0.1056988172047596,158,19,48,True,7,3.0672514619883042
"Calton Hill",0.11769039994453186,360,10,36,True,4,1.8888888888888888
"Calum and the Princess",0.12928913017159893,232,9,25,True,3,1.9305555555555556
"Cameron's Canundrum",0.09879730989335686,176,10,28,True,5,2.2
"Camo-Girl, The",0.08619524421983535,182,13,36,True,5,2.5
"Canary, The",0.07704646142867795,184,8,27,True,4,1.7678571428571428
"Capaillin Langstern",0.10732178005828613,145,9,30,True,4,1.8611111111111112
"Carnal Syndrome",0.07720965113861808,370,27,97,True,5,2.4786324786324787
"Caroline's Jig",0.07269776698979735,396,14,52,True,4,2.131868131868132
"Catchy RE HASHED",0.047649275913381445,356,13,38,True,5,2.3974358974358974
"Catherine",0.09326255144095551,343,13,68,True,4,1.7179487179487178
"Cayo",0.07979213511188867,176,11,28,True,6,2.609090909090909
"Ceilidh At Alexandria's",0.08010496528177267,175,11,33,True,4,2.1454545454545455
"Celtic Convict, The",0.12198105168400408,376,9,39,True,4,1.6527777777777777
"Celtic Mitch's Christmas Jig",0.16365893631365525,180,9,26,True,4,1.8888888888888888
"Celtic Troubador, The",0.037170927204084256,354,11,36,True,5,2.2545454545454544
"Centers Bonnet",0.056210792914175266,348,18,36,True,8,3.2222222222222223
"Charles Anderson",0.07112840535386311,368,9,33,True,4,1.8611111111111112
"Chase, The",0.016327773666568023,160,17,37,False,NA,NA
"Cherish the Ladies",0.13260842418748972,235,10,46,True,4,1.6777777777777778
"City of Amsterdam Pipeband",0.15818190671228677,368,11,55,True,3,1.6636363636363636
"Cleo the Cat",0.17697971644745805,180,10,33,True,5,2.2333333333333334
"Cliffs of Moher, The",0.10299697486040028,126,15,38,True,6,2.585714285714286
"Cock of the Roost",0.0981880671918482,89,11,28,True,7,2.581818181818182
"Cock, Hook and Look",0.05014817707495763,316,17,61,True,5,2.301470588235294
"Condon's Frolics (1st Setting)",0.12139486295301212,89,11,34,True,4,2.0454545454545454
"Condon's Frolics (2nd Setting)",0.13185274465987246,88,12,35,True,4,2.1515151515151514
"Congress Jig, The",0.056960809991050645,184,11,27,True,5,2.536363636363636
"Connaught Man's Ramble, The",0.11813992286502972,186,11,34,True,5,2.1545454545454548
"Cook in, The Kitchen, The",0.06841070662744496,179,14,39,False,NA,NA
"Coppermill Studio",0.12681787906004574,246,12,40,True,4,2.0984848484848486
"Cork Hill",0.03323963731367376,344,17,33,True,7,3.202205882352941
"Corkhill",0.06678311312342043,350,10,26,True,5,2.2888888888888888
"Count Dickie",0.20595815978245915,376,8,33,True,4,1.6607142857142858
"Crack Of Dawn, The",0.14688348260286718,376,10,37,True,4,1.8777777777777778
"Craigdarroch Arms",0.10769126677046208,172,10,28,True,6,2.388888888888889
"Craigs Jigerdee Jig",0.05196481938170618,264,8,25,True,4,1.8214285714285714
"Creel of Turf, The",0.08034005660616357,174,12,33,True,5,2.3181818181818183
"Crocus Jig, The",0.11829057738460554,384,8,29,True,5,1.8571428571428572
"Croghan Bologna",0.10769382385156907,360,8,34,True,4,1.625
"Curlew, The",0.04830679375384518,311,14,39,True,5,2.291208791208791
"Da Full Rigged Ship",0.042570934858238964,228,17,50,True,6,2.5919117647058822
"Dairy Maid, The",0.06590407566506583,344,15,41,True,5,2.380952380952381
"Davey Patricks Ceilidh",0.06829341590988665,294,19,53,True,7,2.8771929824561404
"David Barnes' Return to Polkemmet",0.06937725252030125,370,10,38,True,5,1.9333333333333333
"Day 99",0.021580937592403367,278,23,52,True,8,3.658102766798419
"Dean's Digits",0.06912710473009083,338,13,38,True,5,2.230769230769231
"Denis Murphy's Slide",0.033960547161565914,99,16,32,True,6,2.841666666666667
"Dever the Dancer",0.14701766608878958,136,10,32,True,5,2.0444444444444443
"Dirty Lough, The",0.10753146391617907,188,8,24,True,5,2.017857142857143
"Dive Bombing Shitehawks",0.06733672788661432,374,19,85,True,4,2.090643274853801
"Doctor Death",0.13594110101786927,360,11,39,True,3,1.9181818181818182
"Donald Cameron's Powder Horn",0.06342152118567244,344,21,65,True,5,2.611904761904762
"Donald Cameron's Powderhorn",0.05961542546967504,342,24,67,True,6,2.851449275362319
"Donald MacLennan's Exercise",0.1348330657519621,400,10,39,True,3,1.788888888888889
"Donald MacLennan's Tuning Phrase",0.08429029703618877,336,14,44,True,6,2.4065934065934065
"Donald Willie and His Dog",0.08799514145546185,210,13,42,True,5,2.128205128205128
