Name,Idiom,Time Sig,Num Parts,Num Lines
An Drochaid Cliuteach,Reel,NA,2,4
An Eala Bhan aka The Fair Swan,Slow Air,6_8,1,4
An Mhaighdean Mhara,Air,NA,2,4
An Old Higland Air,Air,3_4,2,4
An Rinnce Mor aka The Rakes of Mallow,Reel,NA,2,4
An Tuaileas,NA,NA,8,24
Anchors Away,NA, C ,0,4
Anchors Aweigh,March,4_4,1,3
Andrew and Colin Lee,Hornpipe,2_4,4,9
Andrew Choate,Strathspey, C ,4,8
Andrew Warnock,March,4_4,4,8
Andy Innes's Welcome to Kyle,March,6_8,4,8
Andy Renwick's Favourite Ferret,Hornpipe,2_4,4,9
Andy Renwick's Ferret,Reel,2_4,6,17
Andy's Lullaby,Slow Air,6_8,2,5
Angelle Bourgeois,March,2_4,4,9
Angie's Crook,Jig,6_8,4,8
Angus Hamilton,March,2_4,4,10
Angus J. MacNeil,Jig,9_8,4,6
Angus John's Fancy,Hornpipe,2_4,3,9
Angus MacDonald,NA,3_4,2,3
Angus MacKinnon of Eigg,March,2_4,3,11
Angus MacKinnon,March,6_8,4,8
Anne van Gerwen's visit to MacDowell,Jig,6_8,2,4
Annette's Chanter,Jig,6_8,4,8
Annette's Chatter,Jig,6_8,4,8
Annie Laurie,March,4_4,0,5
Annie Mac Braid,Strathspey,NA,2,4
Annie of Ballintyre,NA,6_8,2,5
Annie's Excellent Sannies,Hornpipe,2_4,2,4
Annie's Song,Slow Air,3_4,1,13
Apache Trail,Slow Air,2_4,1,9
Archie Beag,Jig,NA,6,12
"Ardvasar Blacksmith, The",Reel,2_2,2,4
Argylls Crossing the River Po,NA,3_4,2,4
Ariogan,NA,3_4,2,5
Arlie's Big Day Jig,Jig,6_8,3,8
Arlie's Big Day Reel,Reel,NA,2,4
"Armistice 1918, The",March,2_4,4,9
Arnaults Trumpet Olympic Fanfare,March,4_4,1,2
Arnhem,NA,4_4,2,8
Arnish Light,Reel,2_2,3,6
Arniston Castle,Strathspey,NA,0,8
Aroak Mont da Soudard,March,4_4,2,4
Arthur Bignold of Lochrosque,March,2_4,4,9
"Arthur Gillies, Kilchrenan",March,2_4,4,8
As Good As It Gets,Hornpipe,2_4,4,9
As I Was Kissed Yestereen,NA,6_8,2,4
"Ash Grove, The",NA,6_8,4,8
Ash Grove,March,6_8,3,3
Ashes on the Afton,Slow Air,NA,2,4
Ashley's Thinning Napper,Hornpipe,2_4,2,4
Ashokan Farewell,NA,3_4,0,6
Aspen Bank,Strathspey,4_4,2,4
Ass in the Graveyard,Waltz,6_8,2,4
Astuires Patria Querida w Note Change,NA,3_4,2,3
Astuires Patria Querida,NA,3_4,2,3
At Long Last,March,4_4,2,4
At Rothesay With Strathclyde Police,Jig,9_8,4,4
Athole Cummers,Strathspey,NA,6,10
"Atholl and Breadalbane Gathering, The",March,2_4,4,8
Atholl Brose,Strathspey, C ,1,3
Atholl Highlanders 6 Parts,March,6_8,6,14
Atholl Highlanders 8 Parts,NA,6_8,8,18
"Atholl Highlanders March to Loch Katrine, The",March,2_4,4,10
"Atholl Highlanders, The",March,6_8,6,13
Atholl Highlanders,March,6_8,2,4
Atholl Jig,Jig,6_8,2,5
Aubrey Digdon,March,6_8,4,8
Auchmountain's Bonnie Glen,March,2_4,4,8
Auf Wiedersehen,NA, C ,0,5
Auld Adam,March,6_8,4,10
"Auld Fiddler, The",Reel, C_ ,3,7
"Auld Hoose, The",March,4_4,1,4
Auld Lang Syne Old Version,Slow Air,NA,1,2
Auld Lang Syne,March,4_4,0,4
Australian Ladies ,March,2_4,4,10
"Australian Ladies, The",March,2_4,3,10
Ave Maria,NA,4_4,1,3
Away In A Manger,NA,3_4,1,6
Away In the Manger,NA,3_4,0,4
"Axemen, The",NA,NA,5,9
Aye Wight,Jig,9_8,4,4
"B-52, The",Hornpipe,3_4,5,11
"B-Shift Boys, The",Hornpipe,2_4,2,5
"B.O.E., The",Jig,6_8,4,9
Babinskem's Ballad,March,4_4,2,4
"Baby March, The",NA,2_4,2,4
Bach's Blowpipes,Hornpipe,2_4,2,4
"Back Gracenote Jig, The",Jig,6_8,2,4
Back In Black,Reel,NA,2,4
Back O' the Change Hoose (The Back of the Change House),Strathspey,NA,1,3
"Back of Benachie, The",March,2_4,2,4
Back of the Change House,NA,2_2,1,3
"Back of the Haggard, The",Polka,2_4,3,6
"Back of the Moon, The",Reel,NA,4,4
Back to Donegal,March,6_8,4,8
"Badge Of Scotland, The",March,4_4,2,4
Bag Rag,NA,2_4,4,12
"Bagad Reel, The",Reel,4_4,1,6
Baille Ionara,March,6_8,2,4
Bajazzo,NA,3_4,2,4
"Ballachulish Walkabout, The",Hornpipe,2_4,2,4
"Ballad of the Green Berets, The",March,4_4,2,4
Ballintore Hornpipe,Hornpipe,2_4,4,8
"Ballycarton Carpet Incedent, The",Hornpipe,2_4,4,8
"Ballyvanich Inn, The aka Boys of Ballivanich, The",Reel,NA,3,6
Balmforth's Brigadoon,Air,6_8,2,4
Balmoral Castle,Strathspey,NA,2,4
"Balmoral Highlanders Hornpipe, The",Hornpipe,2_4,6,12
"Balmoral Highlanders, The",March,2_4,6,12
Balmoral w Seconds and Thirds,March,3_4,0,12
Balmoral-Lucy Cassidy,Hornpipe,3_4,6,12
Balmoral,NA,3_4,4,11
Balscadden Bay,March,6_8,4,9
"Bangkok St. Andrew's Society's Welcome to Sir James Hodge KCVO CMG, The",March,6_8,4,10
Banish Misfortune,Jig,6_8,2,6
"Banjo Breakdown, The",Jig,6_8,4,13
Banjo Breakdown,Reel, C_ ,0,10
Banks and Braes,March,6_8,2,4
"Banks of Allan Water, The",March,3_4,2,4
"Banks of Locheil, The or Braes of Locheil, The",NA,6_8,2,4
"Banks Of Lochiel, The",Slow Air,6_8,2,5
"Banks of the Lee, The",Air,3_4,1,3
"Banks of the Lossie, The",March,9_8,2,4
Bannocks O' Barley Meal,March,12_8,1,4
Barbara's Jig,Jig,6_8,4,8
"Bard From Centauri, The",Reel, C_ ,2,4
"Bard of Armagh, The",Air,6_8,2,4
Barley Cakes,Jig,6_8,1,6
"Barn Dance, The",Reel,4_4,1,3
Barney Song,NA,4_4,0,4
"Barnton Strathspey, The",Strathspey,NA,2,2
Barnyard's O' Delgaty aka Turra Market,March,2_4,2,4
Barnyards of Delgaty,March,2_4,2,4
"Barren Rocks of Aden, The",March,2_4,4,8
Barren Rocks of Aden,March,2_4,2,4
Barrett's Privateers,NA, C_ ,2,4
Barry Allen of Bli-Bli,Jig,6_8,2,4
Barry Ewen,Hornpipe,2_4,4,9
Barshaw Park,March,2_4,4,9
Bartibog,Reel,2_2,4,8
Bass Face,Reel, C_ ,2,4
"Bat, The",Hornpipe,2_4,2,4
"Bathgate Highland Gathering, The",March,9_8,2,5
Bathgate Highland Gathering,March,9_8,2,4
"Battle Hymn of the Republic, The",NA,4_4,1,3
"Battle of Aughrim, The",March,2_4,4,8
"Battle of Killcrankie, The",March,4_4,2,4
"Battle of Killiecrankie, The",March,4_4,0,4
Battle of Loos,Air,4_4,3,6
"Battle of the Somme, The",March,9_8,2,4
Battle of Waterloo Pipeline,March, C ,2,4
Battle of Waterloo,March, C ,4,8
"Battle's O'er, The",March,3_4,2,4
Baxter and Bo,March,4_4,5,5
Bay Gulls 'n Lochs,Jig,6_8,13,28
Bays of Harris,Slow Air,3_4,1,4
BB Centenary 1983,March,4_4,4,12
Be Thou My Vision,Air,3_4,1,3
Beaches of Harris,Hornpipe,4_4,12,26
"Beamish Hornpipe, The",Hornpipe,2_4,4,9
Bean Pheadrin,Reel, C_ ,0,4
Beat the Drum Slowly,Slow Air,3_4,1,5
Beatrice MacKintosh,Strathspey,NA,4,8
Beautiful Isle of Somewhere,March,6_8,2,4
Because He Was A Bonny Lad,Strathspey,NA,1,3
"Bee and the Thistle, The",March,6_8,4,8
"Bee Street Fiddlers, The",Hornpipe,2_4,4,8
"Bees' Wedding, The",Jig,6_8,8,19
Behind The Blowstick,Reel, C_ ,2,4
Behind The Bush In The Garden,Jig,6_8,2,4
Behold What Is Good,Jig,6_8,4,8
Believe Me If All These Endearing Young Charms,Air,6_8,0,5
"Bells of Dunblane, The",Slow Air,3_4,1,4
"Bells of Perth, The",NA,NA,29,35
Ben C. Niven,Hornpipe,2_4,4,8
Bengullion,March,6_8,4,10
Bermuda National Anthem,NA,3_4,0,4
Bertha Robertson (Walker),Hornpipe,2_4,2,4
Bertie's Rhino,Hornpipe,2_4,4,10
Bessie MacIntyre,Reel,NA,4,8
Bessie Weatherston,March,4_4,1,4
Bethany's Jig,Jig,6_8,2,4
Betty Hall's Slip,Jig,9_8,2,2
Bi ag Treabhadh leat,Reel, C_ ,2,4
Bicheno's Toolbox,Reel,NA,6,12
Biddy From Sligo,Jig,6_8,4,10
Big Al's March,March,6_8,4,8
"Big Birl, The",Hornpipe,NA,5,10
Big Don MacDonald,March,6_8,0,8
"Big Man's Big Man Mate, The",Hornpipe,2_4,4,9
"Big Road Brusher, The",Reel, C_ ,4,9
"Big Ship, The",Reel,4_4,3,3
Bill Micenko and the Tacoma Scots,March,3_4,2,4
Bill Sullivan's,Polka,2_4,2,4
"Billy Mitchell Scottish, The",NA,6_8,3,8
Billy's Belly,Hornpipe,2_4,4,10
"Bind, The",March,6_8,4,8
"Birthday Song, The",March,3_4,1,2
"Black Bear Hornpipe, The",March,2_4,2,4
"Black Bear March, The",March,2_4,4,8
"Black Bear, The",March,2_4,4,8
Black Donald's March,March,2_4,21,21
"Black Iris, The",March,6_8,4,8
"Black Isle, The (MacLeod)",NA,9_8,0,4
Black Mill The aka Am Muilean Dubh,Reel, C_ ,1,3
"Black Sporran, The",Jig,6_8,2,5
Black Velvet Band,March,3_4,1,4
"Black Watch Polka, The",Polka,2_4,5,10
"Blackbird, The (Air & Reel)",Air, C_ ,2,7
"Blackbird, The",Reel, C ,1,4
Blackeyed Biddie,NA,6_8,1,4
Blackie MacLeod,Hornpipe,2_4,4,10
"Blade Runners, The",Hornpipe,2_4,2,4
Blaikie's Backyard,NA,2_4,3,8
"Blarney Pilgrim, The",Jig,6_8,3,6
Blessing The Bar,Jig,6_8,2,5
"Bletherskate, The",Reel, C_ ,2,3
Blind Billy,Jig,9_8,2,3
Blind Rhinoscerous,NA, C_ ,0,4
Blistering Fingers Revisited,Hornpipe,2_4,4,10
Blistering Fingers,Hornpipe,2_4,4,9
Bloemfontein Scottish Pipe Band,March,2_4,9,9
Blonde Haired Maiden,Reel, C_ ,2,4
Bloody Fields of Flanders,NA,3_4,2,4
Blue Bonnets,March,6_8,4,8
"Blue Cloud, The",Jig,6_8,6,17
Blue Gold,NA, C_ ,0,4
"Bluebells of Scotland, The",March,4_4,1,3
Bluebells of Scotland,March,4_4,1,3
"Boat Tune (Port a 'Bhata), The",NA,2_4,15,15
"Boats at Dunkirk, The",NA,3_4,2,6
Bob's Whisky,NA,6_8,2,4
Bobbie Cuthbertson,Hornpipe,NA,4,8
Bobby Rae,Hornpipe,2_4,4,8
"Bog Down in the Valley, The",March,3_4,2,4
Bog Down in the Valley-O,Polka,2_4,2,4
Bogan Lochan,Strathspey,NA,0,12
"Bogota Caledonian Ball, The",March,4_4,2,4
Bold Fenian Men,March,NA,2,4
"Bonawe Highlanders, The",March,6_8,4,9
Bonner High Fight Song,March,6_8,0,8
Bonnie Blue Flag,March,6_8,2,5
Bonnie Doon,Slow Air,6_8,1,4
Bonnie Dundee,March,6_8,2,4
Bonnie Gallowa',March,4_4,0,4
Bonnie Galloway,March,4_4,2,4
"Bonnie Hoose O' Airlie, The",Air,NA,0,4
Bonnie House of Airlee,Air,4_4,2,3
Bonnie House of Airlie,Air,4_4,2,4
Bonnie Langille's March,March,3_4,2,4
"Bonnie Lass of Fyvie, The",March,4_4,0,2
Bonnie MacAlpine,March,6_8,3,6
Bonnie Mary,March,NA,0,4
Bonnie Portmore,NA,3_4,1,4
"Bonnie Woods of Stirkoke, The",March,4_4,4,8
Bonny Dundee,March,6_8,2,4
"Borgo Pass, The",Jig,6_8,4,10
Borreraig,Jig,6_8,4,8
Botany Bay,NA,6_8,0,4
Bouillabaisse,NA,2_4,4,9
Bouncing Off The Clouds,NA,2_4,4,8
"Box Man Hornpipe, The",Hornpipe,2_4,2,4
"Boys from Wexford, The",March,4_4,0,8
"Boys of Ballynote, The",Jig,6_8,2,4
"Boys of Score Lane, The",Hornpipe,2_4,4,12
"Boys of the Blue Hill, The",Hornpipe,2_4,2,4
"Boys of the Lough, The",Jig,6_8,2,4
Brae Riach,Jig,6_8,4,10
"Braemar Gathering, The",March,6_8,4,8
Braemar Pipers,Jig,9_8,4,4
"Braes of Antigonish, The",Jig,6_8,2,5
"Braes of Badenoch, The",March,2_4,6,13
Braes of Marr,Strathspey, C ,2,2
"Braes of Melinish, The",Jig,6_8,4,8
Braes of Skreen,Slow Air,5_4,0,2
Brandy the Bitch,Jig,6_8,2,5
Braveheart aka For the Love of a Princess,Slow Air,NA,1,5
Break Yer Bass Drone,Reel,NA,2,4
Brechin Castle,Strathspey,4_4,2,2
Brenda Stubbert,Reel,NA,2,4
Brentwood Bay,March,6_8,2,5
Brest St. Marc,Jig,6_8,4,8
Breton Wedding Day,Waltz,3_4,3,6
Breton's Welcome To Bob Turner,Hornpipe,2_4,4,8
Brian Boru's Hornpipe,Hornpipe,2_4,2,4
Brian Boru's March to The Battle of Clontaf,March,6_8,3,6
Brian Donaldson,NA,2_4,4,10
Brianna's Delight,Reel, C_ ,4,5
"Bridal March, The",March,2_4,1,5
Bridal March,March,2_4,0,2
Bridget Bradley,Jig,6_8,4,4
"Brig O' Blair, The",March,4_4,2,4
Brigadier General D.R. Coell,March,6_8,2,5
Brigadier General Ronald Cheape of Tiroran,March,2_4,4,9
Brigadier General Ronald,March,2_4,4,9
Brigadier Snow,NA,12_8,4,8
Brindabella Lullaby,Air,6_8,4,8
"Bring a Torch, Jeanette, Isabella",NA,3_4,1,3
British Caledonial Airways Pipe Band,Air,12_8,4,8
"Broken Chanter, The",Reel, C_ ,2,4
"Broken Circle, The",Reel, C_ ,3,6
Broken Tail,Reel, C_ ,2,3
"Brolum, The",Reel, C_ ,0,8
Bronni's Blue Brozzi,Jig,6_8,4,11
Brose and Butter,March,9_8,1,6
Brother Joseph O'Toole of Airdrie,Air,2_4,4,8
Brothers Three,March,6_8,2,4
Brown Haired Maid The (Ridhle Mo Nighean Donn),Reel, C_ ,6,12
"Brown-Haired Maiden, The",March,2_4,2,6
Bruce Gandy's Dusty Chanter,Hornpipe,2_4,4,10
Bruce Gandy's Farewell to the Iron Horse,March,6_8,4,9
Bruce's Address,March, C ,1,2
Bubbles,Hornpipe,2_4,4,8
Buchanan's Reel,Reel, C_ ,4,6
Buckled Fingers,Hornpipe,2_4,2,4
"Bug, The",Jig,6_8,4,8
"Bulgarian Bandit, The",Hornpipe,2_4,2,4
Bulgarian Red,Reel,4_4,2,4
"Bumpy Old Road, The",Hornpipe,2_4,4,8
Bundle and Go,March,6_8,2,5
"Bungee Jumper, The",Jig,6_8,2,4
Burgess of Forres,March,6_8,4,8
Burn's Medley,March,6_8,3,5
Burnett and Struth's,NA,NA,0,8
Burnin' Down the Mountain,Hornpipe,2_4,4,8
"Burning of the Piper's Hut, The",March,2_4,4,8
Busindre Reel,Reel,NA,3,7
Butter Fingers,Jig,6_8,4,12
By Cool Siloam's Shady Rill,NA,3_4,0,4
By Deonagh Leam Tilleadh aka I Long To Return,March,6_8,2,4
By the River Aora,Slow Air,6_8,2,4
By the Waters Edge,Slow Air,3_4,2,4
"C.E.F. In The Battle For Hill 70, The",March,4_4,4,8
Ca the Ewes,Reel,4_4,5,11
Ca' The Ewes,Reel,NA,6,12
Cabar Feidh Hornpipe,Hornpipe,2_4,4,8
Cabar Feidh Jig,Jig,6_8,0,16
Cabar Feidh Reel,Reel,NA,4,8
Cabar Feidh Strathspey,Strathspey, C ,1,8
Cabar Feidh Suite,Jig, C ,20,44
Cabar Feidh,March, C ,4,8
Caber Feidh Hornpipe,Hornpipe,2_4,4,8
Caddy in a Bucket,Jig,6_8,2,4
"Cadence of Loom, The",March,2_4,4,9
"Caduceus, The",March,6_8,4,10
Cailinn Mo Ruinsa (The Maid I Adore),Slow Air,9_8,2,4
Cailleach an Airgid,Air,6_8,0,4
Cailleach do mhaireas me,Jig,6_8,6,12
"Caisson Song, The",March,4_4,1,3
"Caissons Go Rolling Along, The",March,4_4,1,3
Cajun Chanson,March,3_4,2,4
Caledonia,NA,3_4,2,5
Caledonian Canal,Strathspey, C ,5,5
"Caledonian Society of London, The",Strathspey,NA,4,8
"California Chanter Cap, The",Jig,6_8,4,8
Calium Mo Ruimsa,Slow Air,9_8,1,4
Calleach an Dudain (The Old Wife of the Mill Dust),Jig,6_8,6,12
Caller Herrin',March,2_4,1,5
Caller Herron,March,2_4,3,8
Callin Mo Ruin-Sa,Air,9_8,2,4
Callin Mo Ruinsa,NA,9_8,4,8
Calliope House,Jig,6_8,0,8
Callisto aka Big Bear,Hornpipe,2_4,2,4
Callum MacIntosh,March,2_4,4,8
Callum McIntosch,March,2_4,4,8
Calm Before The Storm,NA,6_8,26,36
Calton Hill,Jig,6_8,4,9
Calum and the Princess,Jig,6_8,1,10
Calum Iain,Reel,NA,1,7
Calum McErlean,Hornpipe,2_4,2,4
Cam' ye by Atholl,March,6_8,2,4
"Camden Pipers, The ",March,NA,2,4
Cameron Cairney,March,6_8,4,10
Cameron MacFadyen,March,6_8,4,9
"Cameron Men, The",March,6_8,2,4
Cameron of Corrychoillie's March,March,6_8,5,10
"Cameron Quickstep, The (Henderson's March)",March,2_4,4,10
"Cameron Quickstep, The aka Henderson's March",March,2_4,4,8
Cameron's Canundrum,Jig,6_8,2,4
Cameronian Rant (8-Parted),Strathspey, C ,8,16
"Cameronian Rant (cont), The",NA,NA,2,10
Cameronian Rant Hornpipe,NA,2_4,16,32
"Cameronian Rant Reel, The",Reel, C_ ,8,16
"Cameronian Rant, The",NA,NA,2,10
"Camo-Girl, The",Jig,6_8,2,4
Campbell of Glenlyon,March,2_4,1,9
Campbell's Farewell to Redcastle,March,2_4,2,5
Campbells are Coming The aka Baille Ionara,March,6_8,0,6
"Campbells Are Coming, The",March,6_8,3,6
"Campbeltown Kiltie Ball, The",Strathspey, C ,2,4
Campbeltown Loch,March,6_8,2,4
Campsie Hills,NA,3_4,2,4
"Canadian Scottish, The",March,2_4,3,8
"Canary, The",Jig,6_8,2,4
Capaillin Langstern,Jig,6_8,1,6
Cape Breton Peurt-A-Beul,NA,NA,2,3
Captain Bill Howarth's March,March,2_4,2,6
Captain Campbell of Drum a Viosk,March,2_4,4,8
Captain Carswell,March,2_4,4,10
Captain Colin Campbell,Strathspey,NA,3,5
Captain Craig Brown,March,NA,3,6
Captain Duncan MacGregor,NA, C ,1,6
Captain Grant,March,2_4,2,5
Captain Horn,Strathspey,NA,2,2
Captain Horne,Strathspey, C ,2,2
Captain Lachlan MacPhail of Tiree,Reel, C_ ,4,8
Captain Lamond's March,March,2_4,0,5
Captain M.G. Bax,March,2_4,4,8
Captain Norman Orr Ewing,March,2_4,4,9
Captain Waa Waa,Hornpipe,2_4,4,8
Car In The Woods,Reel,NA,2,6
"Carles wi' the Breeks, The",Slow Air,6_8,2,4
Carlingford Loch,Slow Air,6_8,2,7
Carnal Syndrome,Jig,6_8,4,10
"Carnival Reel, The",Jig,2_4,4,8
Caroline's Jig,Jig,9_8,6,6
Carradale Bay,March,2_4,4,8
Carriagehill,Hornpipe,2_4,4,6
Carrickfergus,NA,6_8,1,8
Carry On Regardless,Hornpipe,2_4,4,8
Carson On Ice,NA,4_4,2,4
"Cascade, The",Reel, C_ ,4,8
"Casino Bust, The",Hornpipe,2_4,4,8
Castle and Keys,March,2_4,2,4
Castle Cary Pipes and Drums,March,6_8,2,6
Castle Dangerous Pipeline,NA,3_4,2,4
Castle Dangerous,March,3_4,2,4
Castle Grant,March,2_4,2,8
Castle Rock Celeidh,Reel, C_ ,2,4
Castle Walls,March,3_4,1,6
Castle Wemyss,March,2_4,2,7
Castlehill,March,12_8,4,8
Castleview House,March,4_4,1,4
Catchy RE HASHED,Jig,6_8,4,8
Catherine Stead's Wedding,March,4_4,0,13
Catherine,Jig,6_8,4,10
Cathy's Willie,Hornpipe,2_4,6,13
Catrina Baker,Waltz,NA,3,4
Catriona MacDonald,March,2_4,5,20
Catriona,March,6_8,4,9
Cats Were Raising Hell The aka Cheeky's March to Glory,Hornpipe,2_4,4,9
Catskill Mountain Breakdown,Reel, C ,6,7
Cattle Landing,NA,3_4,2,4
"Caubeen Trimmed with Blue, The",March,2_4,4,8
Cause and Effect,Hornpipe,2_4,4,9
Cayo,Jig,6_8,2,4
CCPB's 20th Anniversary March,March,4_4,2,4
Ceann Loch An Dùin,Slow Air,6_8,1,3
Cecily Ross,Reel,4_4,0,16
Ceilidh At Alexandria's,Jig,6_8,2,4
Ceilidh Lines,Hornpipe,2_4,4,8
"Cellars of Authuille, The",March,6_8,1,5
"Celtic Convict, The",Jig,6_8,4,8
Celtic Elvis,NA,4_4,1,11
Celtic Mitch's Christmas Jig,Jig,6_8,2,4
Celtic Roots,March,6_8,2,4
"Celtic Troubador, The",Jig,6_8,4,9
Celticmitch,Hornpipe,2_4,2,4
Centers Bonnet,Jig,6_8,4,8
Centre Bands,March,6_8,5,10
Ceud Mile Failte do Rio!,NA,2_4,4,8
Cha Till Mac Cruimein,Slow Air,6_8,1,4
Cha Till MacCruimein aka MacCrimmon Will Never Return,NA,6_8,23,64
